4 0.7 0.8 100
6	3.801952500895542375e-01	3.883037286595947823e-01	11232
8	3.593338154291541575e-01	3.657912978079199129e-01	8945
10	3.422374879989653618e-01	3.476031801379765307e-01	7433
12	3.277460487205070550e-01	3.323389519332607955e-01	8
