5	3.926323765851660874e-01	4.019387151781328993e-01	12892
7	3.691950929851077201e-01	3.763900829901611345e-01	9967
9	3.504039259002813544e-01	3.562668941717307414e-01	8122
11	3.347206359742697090e-01	3.396668527041851182e-01	6852
13	3.212459215327138073e-01	3.255270879389478011e-01	5931
15	3.094478282501287314e-01	3.132280451669735566e-01	5237
17	2.989565359035943892e-01	3.023290426593062685e-01	4672
19	2.894915287023907546e-01	2.925414031483990485e-01	4225
21	2.808927795446988784e-01	2.836709730346773095e-01	3849
23	2.742668921859446884e-01	2.768563007246226393e-01	3587
25	2.692758407614285199e-01	2.717394242136245142e-01	3413
27	2.633859215632814443e-01	2.657040287065004502e-01	3211
29	2.578385031458083620e-01	2.600249812834424246e-01	3029
31	2.525929872427262746e-01	2.546623663149816807e-01	2867
33	2.485981722192984189e-01	2.505716606116037415e-01	2734
35	2.438187477215500998e-01	2.457026774378995582e-01	2610
37	2.401673916503523631e-01	2.419805681033846689e-01	2512
39	2.366417587875000450e-01	2.383913992948690219e-01	2424
41	2.332507068068605804e-01	2.349342498293666981e-01	2332
43	2.299616037588526618e-01	2.315896943469967217e-01	2255
45	2.267894019414396223e-01	2.283666501133289894e-01	2185
47	2.237167576773444466e-01	2.252448531525192144e-01	2117
49	2.207392202712167573e-01	2.222198857370032143e-01	2051
51	2.178518531372471145e-01	2.192878206429400290e-01	1989
53	2.150521088267424719e-01	2.164451050895019879e-01	1930
55	2.123232771608397629e-01	2.136785876519333160e-01	1878
57	2.096734337065757070e-01	2.109973546335268402e-01	1834
59	2.071009392160075846e-01	2.083762214109306232e-01	3
61	2.045903048178306094e-01	2.058384984815792018e-01	1730
63	2.021384803412568654e-01	2.033515951995697457e-01	1680
65	1.997517932896685222e-01	2.009354956765842526e-01	1640
67	1.974166123172096388e-01	1.985749263631458872e-01	1605
69	1.951423565617806943e-01	1.962790112037977597e-01	1575
71	1.929190777780057098e-01	1.940264806043643375e-01	1534
73	1.907449486960778040e-01	1.918315933603269574e-01	1505
75	1.886185726973085564e-01	1.896775512941895059e-01	1467
77	1.865382413016100915e-01	1.875809841965497826e-01	1445
79	1.840053209604421425e-01	1.850150979704567322e-01	1399
81	1.820200882226319372e-01	1.830019586351795124e-01	1360
83	1.800770216666643941e-01	1.810451058631563637e-01	1341
85	1.781672343170465911e-01	1.791151307087739675e-01	1313
87	1.762980133125617854e-01	1.772256948283560951e-01	1285
89	1.744599103949680818e-01	1.753760909230793197e-01	1269
91	1.726602022456728003e-01	1.735606926227218627e-01	1248
93	1.708976979620757952e-01	1.717765815379573013e-01	1217
95	1.691571145367774809e-01	1.700249624464189591e-01	1203
97	1.674521393728460317e-01	1.682961849887687489e-01	1170
99	1.657718961440827199e-01	1.666128374292017433e-01	1165
101	1.641292248418281252e-01	1.649439352189657204e-01	1129
