5 3.926323765851660874e-01 4.019387151781328993e-01 12892
6 3.801952500895542375e-01 3.883037286595947823e-01 11232
7 3.691950929851077201e-01 3.763900829901611345e-01 9967
8 3.593338154291541575e-01 3.657912978079199129e-01 8945
9 3.504039259002813544e-01 3.562668941717307414e-01 8122
10 3.422374879989653618e-01 3.476031801379765307e-01 7433
11 3.347206359742697090e-01 3.396668527041851182e-01 6852
12 3.277460487205070550e-01 3.323389519332607955e-01 8
13 3.212459215327138073e-01 3.255270879389478011e-01 5931
14 3.151662904546226329e-01 3.191826089634983710e-01 5564
15 3.094478282501287314e-01 3.132280451669735566e-01 5237
16 3.040586403101357416e-01 3.076228598995611740e-01 4937
17 2.989565359035943892e-01 3.023290426593062685e-01 4672
18 2.941067510782785499e-01 2.973065106256532752e-01 4433
19 2.894915287023907546e-01 2.925414031483990485e-01 4225
20 2.850963171712797561e-01 2.880060247950524954e-01 4031
21 2.808927795446988784e-01 2.836709730346773095e-01 3849
22 2.781837903473760587e-01 2.808927864658202767e-01 3753
23 2.742668921859446884e-01 2.768563007246226393e-01 3587
24 2.717394179170866120e-01 2.742668986367591821e-01 3501
25 2.692758407614285199e-01 2.717394242136245142e-01 3413
26 2.657040228168209839e-01 2.680681872530977228e-01 3275
27 2.633859215632814443e-01 2.657040287065004502e-01 3211
28 2.600249757424015207e-01 2.622491939099786951e-01 3081
29 2.578385031458083620e-01 2.600249812834424246e-01 3029
30 2.546623610594024312e-01 2.567719926130975772e-01 2923
31 2.525929872427262746e-01 2.546623663149816807e-01 2867
32 2.505716555759870401e-01 2.525929923980272940e-01 2800
33 2.485981722192984189e-01 2.505716606116037415e-01 2734
34 2.466549296132989344e-01 2.485981820521288022e-01 2692
35 2.438187477215500998e-01 2.457026774378995582e-01 2610
36 2.419805589446326621e-01 2.438187571081578131e-01 2546
37 2.401673916503523631e-01 2.419805681033846689e-01 2512
38 2.383913904459659672e-01 2.401674006844346787e-01 2460
39 2.366417587875000450e-01 2.383913992948690219e-01 2424
40 2.349342413216828074e-01 2.366417675050169200e-01 2366
41 2.332507068068605804e-01 2.349342498293666981e-01 2332
42 2.315896860709826810e-01 2.332507151950492519e-01 2301
43 2.299616037588526618e-01 2.315896943469967217e-01 2255
44 2.283666421664534707e-01 2.299616118707517032e-01 2210
45 2.267894019414396223e-01 2.283666501133289894e-01 2185
46 2.252448454567864689e-01 2.267894098000182712e-01 2139
47 2.237167576773444466e-01 2.252448531525192144e-01 2117
48 2.222198782788209481e-01 2.237167652910216908e-01 2074
49 2.207392202712167573e-01 2.222198857370032143e-01 2051
50 2.192878134113241395e-01 2.207392276485758142e-01 2011
51 2.178518531372471145e-01 2.192878206429400290e-01 1989
52 2.164450980803631075e-01 2.178518602919002345e-01 1949
53 2.150521088267424719e-01 2.164451050895019879e-01 1930
54 2.136785808083479510e-01 2.150521157672930506e-01 1902
55 2.123232771608397629e-01 2.136785876519333160e-01 1878
56 2.109973480271020163e-01 2.123232839136224293e-01 1837
57 2.096734337065757070e-01 2.109973546335268402e-01 1834
58 2.083762149475549275e-01 2.096734403029610616e-01 1797
59 2.071009392160075846e-01 2.083762214109306232e-01 3
60 2.058384921914535592e-01 2.071009455700523194e-01 1748
61 2.045903048178306094e-01 2.058384984815792018e-01 1730
62 2.033515890276847426e-01 2.045903110369077793e-01 1716
63 2.021384803412568654e-01 2.033515951995697457e-01 1680
64 2.009354896826991976e-01 2.021384863855552327e-01 1667
65 1.997517932896685222e-01 2.009354956765842526e-01 1640
66 1.985749204993928485e-01 1.997517991874203647e-01 1630
67 1.974166123172096388e-01 1.985749263631458872e-01 1605
68 1.962790055356867513e-01 1.974166180884650568e-01 8
69 1.951423565617806943e-01 1.962790112037977597e-01 1575
70 1.940264750444991582e-01 1.951423622251189371e-01 1546
71 1.929190777780057098e-01 1.940264806043643375e-01 1534
72 1.918315879419229542e-01 1.929190832955979262e-01 1507
73 1.907449486960778040e-01 1.918315933603269574e-01 1505
74 1.896775459758693327e-01 1.907449541102432256e-01 1479
75 1.886185726973085564e-01 1.896775512941895059e-01 1467
76 1.875809790267527477e-01 1.886185779736289092e-01 1437
77 1.865382413016100915e-01 1.875809841965497826e-01 1445
78 1.850150928977299103e-01 1.860332094707128348e-01 1411
79 1.840053209604421425e-01 1.850150979704567322e-01 1399
80 1.830019486366009640e-01 1.840053259916174522e-01 1390
81 1.820200882226319372e-01 1.830019586351795124e-01 1360
82 1.810450961473374365e-01 1.820200980068954477e-01 1351
83 1.800770216666643941e-01 1.810451058631563637e-01 1341
84 1.791151211234125462e-01 1.800770313135493239e-01 1332
85 1.781672343170465911e-01 1.791151307087739675e-01 1313
86 1.772256854457995301e-01 1.781672437627616068e-01 1305
87 1.762980133125617854e-01 1.772256948283560951e-01 1285
88 1.753760817360096036e-01 1.762980225568371029e-01 1277
89 1.744599103949680818e-01 1.753760909230793197e-01 1269
90 1.735606836619053017e-01 1.744599195246369083e-01 1246
91 1.726602022456728003e-01 1.735606926227218627e-01 1248
92 1.717765727325674119e-01 1.726602112189905003e-01 1224
93 1.708976979620757952e-01 1.717765815379573013e-01 1217
94 1.700249537495023555e-01 1.708977067200833644e-01 1209
95 1.691571145367774809e-01 1.700249624464189591e-01 1203
96 1.682961764095000645e-01 1.691571231848154611e-01 1192
97 1.674521393728460317e-01 1.682961849887687489e-01 1170
98 1.666128290654549371e-01 1.674521477836959926e-01 1162
99 1.657718961440827199e-01 1.666128374292017433e-01 1165
100 1.649439269682327347e-01 1.657719045239982592e-01 1147
101 1.641292248418281252e-01 1.649439352189657204e-01 1129
