5.811456887502857160e-01 6.891034195881368118e-01
4.869229604341962503e-01 5.144524060881862093e-01
4.565079870965378928e-01 4.756668460662064613e-01
4.335071291712803143e-01 4.482112007121501485e-01
4.150097282090261519e-01 4.269341299159613579e-01
3.995261387995256985e-01 4.095639514935274228e-01
3.862131611285799515e-01 3.948797294079663400e-01
3.745410171333058980e-01 3.821562451909661373e-01
3.641372938387416047e-01 3.709449140300549175e-01
3.547673951547866134e-01 3.609081311659817493e-01
3.462309478434648646e-01 3.518333169518927939e-01
3.383992598931374052e-01 3.435553465293398889e-01
3.311677612967486306e-01 3.359264877904254432e-01
3.244417128642728687e-01 3.288766591676394180e-01
3.181568596039515140e-01 3.223005736272349653e-01
3.122655839892507501e-01 3.161524837052178682e-01
3.067195611760022422e-01 3.103838352557841684e-01
3.014752989388421733e-01 3.049326378576044938e-01
2.964958137804503679e-01 2.997817878656077739e-01
2.917726107806799529e-01 2.949013376854080493e-01
2.872714804398546762e-01 2.902477570458105172e-01
2.829648925394367964e-01 2.858142535715523236e-01
2.788524535334578336e-01 2.815748168021366959e-01
2.749036066356591590e-01 2.775181897976489731e-01
2.711183597037939430e-01 2.736301788985816552e-01
2.674769827859675431e-01 2.698843514316895398e-01
2.651136523955008872e-01 2.674769887832786353e-01
2.616939421818297307e-01 2.639590142492351243e-01
2.594679748393603491e-01 2.616939478246471662e-01
2.562391417104685210e-01 2.583770812705584174e-01
2.541427457383706456e-01 2.562391470365694701e-01
2.520891490306135796e-01 2.541427509609902602e-01
2.500794321183700264e-01 2.520891541466101504e-01
2.481123069367703882e-01 2.500794371250515957e-01
2.461765208290362938e-01 2.481123167379212791e-01
2.442895769922500127e-01 2.461765304740653471e-01
2.424309413510717659e-01 2.442895863939235357e-01
2.406114965457160082e-01 2.424309598723273784e-01
2.388293464318573811e-01 2.406115056111223782e-01
2.370766584455730464e-01 2.388293553113972900e-01
2.353596086451101854e-01 2.370766671783181012e-01
2.336607811971534998e-01 2.353596172002886400e-01
2.311866667439866629e-01 2.328311783217585362e-01
2.295649173092864093e-01 2.311866749377026742e-01
2.279738407520749965e-01 2.295649253896317465e-01
2.264016394631643003e-01 2.279738486795933050e-01
2.248612576445268019e-01 2.264016472966365323e-01
2.233390268827077363e-01 2.248612653194592970e-01
2.218448434920815004e-01 2.233390344672024908e-01
2.203815482267956483e-01 2.218448509368308175e-01
2.189308805593928597e-01 2.203815555176454333e-01
2.175026266476590142e-01 2.189308877873253345e-01
2.160976356666676756e-01 2.175026337639154872e-01
2.147098304271947145e-01 2.160976426670169204e-01
2.133364630403350171e-01 2.147098373419160933e-01
2.119886191692346711e-01 2.133364698831198836e-01
2.106654752014849863e-01 2.119886258848492910e-01
2.093550547276310791e-01 2.106654817940326330e-01
2.080612508840405384e-01 2.093550612567838254e-01
2.067772131940792957e-01 2.080612573304012058e-01
2.055189389964786062e-01 2.067772195917800815e-01
2.042730904923187041e-01 2.055189452658135185e-01
2.030512832783768484e-01 2.042730966997424180e-01
2.018404215188865924e-01 2.030512893660154639e-01
2.006403589587186509e-01 2.018404275519893043e-01
1.994528887417933438e-01 2.006403649380144594e-01
1.982843455206395045e-01 1.994528946583480344e-01
1.971288906262479990e-01 1.982843513428908522e-01
1.959960262869210879e-01 1.971288963832867891e-01
1.948599952806883140e-01 1.959960319314029975e-01
1.937454336531560517e-01 1.948600009409474643e-01
1.926462156557796346e-01 1.937454392064449082e-01
1.915584167918504832e-01 1.926462211326188945e-01
1.904840918505733560e-01 1.915584222117939772e-01
1.894182831627377328e-01 1.904840972033832736e-01
1.883623782868315277e-01 1.894182884731153982e-01
1.873130549127348665e-01 1.883623835478636099e-01
1.862854966680152491e-01 1.873130601409746521e-01
1.852659456753012746e-01 1.862855017878109476e-01
1.842533134655606197e-01 1.852659507552005813e-01
1.832507872107203561e-01 1.842533185109871685e-01
1.822647496442778847e-01 1.832507972008680375e-01
1.812882528512500535e-01 1.822647594701663487e-01
1.803183729164803406e-01 1.812882625820637639e-01
1.793550843614039048e-01 1.803183825813566288e-01
1.783995326902345080e-01 1.793550939605969563e-01
1.774626061596490390e-01 1.783995422123294539e-01
1.765329619103920000e-01 1.774626154961451152e-01
1.756093484049353615e-01 1.765329711743188201e-01
1.746924168201156591e-01 1.756093576087655594e-01
1.737804923788526246e-01 1.746924259573604532e-01
1.728892416051188707e-01 1.737805014662009429e-01
1.719909477256816310e-01 1.728892504864551760e-01
1.711095454313894815e-01 1.719909566771998799e-01
1.702352134412404294e-01 1.711095542145850690e-01
1.693691759080604153e-01 1.702352221539793209e-01
1.685172139601459063e-01 1.693691845381449790e-01
1.676585958518277963e-01 1.685172224499674742e-01
1.663952292126485433e-01 1.672432034061058781e-01
1.651565186643635941e-01 1.659857676623818779e-01
1.643329053070564649e-01 1.651565269277663894e-01
1.635132067883743878e-01 1.643329135143828945e-01
