9 0.7 0.8 90
11	3.383992582433542617e-01	3.435553434132033734e-01	7142
13	3.244417092563724458e-01	3.288766602260142502e-01	6143
15	3.122655834173110323e-01	3.161524872229205529e-01	5385
17	3.014753052709150949e-01	3.049326386987907256e-01	4790
19	2.917726075371669947e-01	2.949013376590113311e-01	4335
21	2.829648880337687356e-01	2.858142519957421746e-01	3947
23	2.749036077214328522e-01	2.775181935718700199e-01	4
25	2.674769859339900524e-01	2.698843508124102453e-01	3335
27	2.616939397044560911e-01	2.639590139751821773e-01	3138
29	2.562391422094894566e-01	2.583770784295746914e-01	2962
31	2.520891454695405876e-01	2.541427494090266470e-01	2845
33	2.481123046019095835e-01	2.500794367137969543e-01	2725
35	2.442895709842375362e-01	2.461765360473699982e-01	2614
37	2.406114959129662112e-01	2.424309519995984097e-01	2520
39	2.370766538977655546e-01	2.388293527047901099e-01	2428
41	2.336607816837333873e-01	2.353596194834824684e-01	2353
43	2.295649134642616107e-01	2.311866728077770494e-01	2246
45	2.264016324826321203e-01	2.279738512322382893e-01	2178
47	2.233390327062136915e-01	2.248612724992258560e-01	2109
49	2.203815512927037035e-01	2.218448478446152228e-01	2027
51	2.175026273601887716e-01	2.189308896673708427e-01	1978
53	2.147098288567851343e-01	2.160976422310585954e-01	1922
55	2.119886222171925572e-01	2.133364671900724874e-01	5
57	2.093550554449866152e-01	2.106654770466271920e-01	1815
59	2.067772116526513104e-01	2.080612569140755097e-01	1779
61	2.042730930260742428e-01	2.055189426218687887e-01	1726
63	2.018404218035173558e-01	2.030512907701386982e-01	1678
65	1.994528868190610371e-01	2.006403641131481730e-01	1645
67	1.971288865548929126e-01	1.982843483398022411e-01	1601
69	1.948600004006291742e-01	1.959960268126778316e-01	1574
