9 0.7 0.8 10
11	3.347206359742697090e-01	3.396668527041851182e-01	6852
13	3.212459215327138073e-01	3.255270879389478011e-01	5931
15	3.094478282501287314e-01	3.132280451669735566e-01	5237
17	2.989565359035943892e-01	3.023290426593062685e-01	4672
19	2.894915287023907546e-01	2.925414031483990485e-01	4225
21	2.808927795446988784e-01	2.836709730346773095e-01	3849
23	2.742668921859446884e-01	2.768563007246226393e-01	3587
25	2.692758407614285199e-01	2.717394242136245142e-01	3413
27	2.633859215632814443e-01	2.657040287065004502e-01	3211
29	2.578385031458083620e-01	2.600249812834424246e-01	3029
31	2.525929872427262746e-01	2.546623663149816807e-01	2867
33	2.485981722192984189e-01	2.505716606116037415e-01	2734
35	2.438187477215500998e-01	2.457026774378995582e-01	2610
37	2.401673916503523631e-01	2.419805681033846689e-01	2512
39	2.366417587875000450e-01	2.383913992948690219e-01	2424
41	2.332507068068605804e-01	2.349342498293666981e-01	2332
43	2.299616037588526618e-01	2.315896943469967217e-01	2255
45	2.267894019414396223e-01	2.283666501133289894e-01	2185
47	2.237167576773444466e-01	2.252448531525192144e-01	2117
49	2.207392202712167573e-01	2.222198857370032143e-01	2051
51	2.178518531372471145e-01	2.192878206429400290e-01	1989
