0	5.811456876876959221e-01	6.891034224571290778e-01	4570
2	4.565079922384264188e-01	4.756668455190443678e-01	812
4	4.150097245833611614e-01	4.269341319072589291e-01	6
6	3.862131623897456789e-01	3.948797283394205326e-01	368
8	3.641372956366477620e-01	3.709449139979643650e-01	289
10	3.462309509448022737e-01	3.518333184599573560e-01	238
12	3.311677617035508336e-01	3.359264868438806562e-01	3
14	3.181568549076201347e-01	3.223005732907557874e-01	176
16	3.067195547687563417e-01	3.103838327039428746e-01	156
18	2.964958194078409770e-01	2.997817882742702666e-01	140
20	2.872714803624394353e-01	2.902477600287543535e-01	127
22	2.788524518975942779e-01	2.815748179655455097e-01	116
24	2.711183634109213814e-01	2.736301786749522069e-01	8
26	2.651136532446078942e-01	2.674769919312917632e-01	1
28	2.594679758395275759e-01	2.616939453472790222e-01	5
30	2.541427441864019254e-01	2.562391475355821902e-01	10
32	2.500794317071233230e-01	2.520891505855421544e-01	86
34	2.461765264023803579e-01	2.481123144030700500e-01	83
36	2.424309427390074489e-01	2.442895803859687631e-01	79
38	2.388293438252403478e-01	2.406115049783365545e-01	76
40	2.353596109283380700e-01	2.370766626305202962e-01	73
42	2.311866646140523784e-01	2.328311779309870100e-01	70
44	2.279738433047518720e-01	2.295649215446154967e-01	68
46	2.248612648243639156e-01	2.264016403161518698e-01	67
48	2.218448403998214413e-01	2.233390402907152184e-01	64
50	2.189308824394324837e-01	2.203815585835227631e-01	62
52	2.160976352307036330e-01	2.175026344764510733e-01	60
54	2.133364603472819865e-01	2.147098357715121753e-01	59
56	2.106654704540407430e-01	2.119886289327785611e-01	57
58	2.080612504677092078e-01	2.093550619741121055e-01	56
60	2.055189363525283808e-01	2.067772180503577029e-01	54
62	2.030512846824944484e-01	2.042730992334721440e-01	53
64	2.006403581338468411e-01	2.018404278366256466e-01	52
66	1.982843425175454810e-01	1.994528927356212233e-01	50
68	1.959960211681907039e-01	1.971288923119370318e-01	49
70	1.937454374978005156e-01	1.948600060608373097e-01	48
72	1.915584180390675073e-01	1.926462181663188833e-01	47
74	1.894182819027252773e-01	1.904840971919897208e-01	46
76	1.873130564474506654e-01	1.883623810508471830e-01	45
78	1.852659446597516302e-01	1.862855020423994368e-01	44
80	1.832507887484171039e-01	1.842533213138116688e-01	44
82	1.812882519123591718e-01	1.822647597635617400e-01	42
84	1.793550810488239167e-01	1.803183901492832475e-01	42
86	1.774626004502078969e-01	1.783995473052596981e-01	41
88	1.756093492896688146e-01	1.765329734197050304e-01	40
90	1.737804997066296764e-01	1.746924254913118091e-01	39
92	1.719909516181361564e-01	1.728892472568565042e-01	39
94	1.702352134227610447e-01	1.711095561436723755e-01	38
96	1.685172187686825862e-01	1.693691913032847607e-01	37
98	1.663952291479160461e-01	1.672432052887986020e-01	37
100	1.643329005060695791e-01	1.651565240182774619e-01	36
